,label,speed
0,1,"[30, 26, 25, 23, 23, 26, 25, 24, 23, 19, 19, 14]"
1,1,"[25, 19, 15, 16, 20, 21, 20, 19, 20, 24, 29, 16]"
2,1,"[26, 27, 28, 32, 33, 35, 35, 35, 35, 37, 34, 15]"
3,1,"[32, 35, 37, 37, 39, 38, 39, 38, 36, 35, 34, 22]"
4,1,"[28, 35, 34, 33, 29, 26, 27, 28, 24, 16, 18, 10]"
5,1,"[37, 36, 35, 35, 34, 35, 36, 32, 31, 30, 23, 15]"
6,1,"[15, 17, 19, 21, 22, 20, 18, 17, 18, 18, 16, 16]"
7,1,"[34, 32, 33, 32, 33, 30, 18, 15, 20, 28, 34, 13]"
8,1,"[27, 30, 28, 22, 20, 21, 10, 11, 12, 13, 12, 11]"
9,1,"[33, 27, 33, 32, 31, 28, 21, 16, 12, 11, 16, 13]"
10,1,"[34, 35, 36, 34, 36, 34, 34, 28, 21, 17, 12, 10]"
11,1,"[33, 32, 25, 21, 20, 15, 13, 14, 13, 15, 12, 11]"
12,1,"[23, 21, 23, 25, 26, 29, 28, 29, 27, 32, 25, 11]"
13,1,"[24, 22, 24, 28, 26, 25, 30, 29, 24, 17, 11, 10]"
14,1,"[18, 16, 13, 16, 16, 16, 16, 19, 15, 15, 16, 11]"
15,1,"[12, 12, 12, 14, 10, 14, 16, 15, 19, 19, 13, 15]"
16,1,"[31, 28, 28, 38, 34, 25, 15, 13, 13, 12, 12, 12]"
17,1,"[42, 43, 41, 44, 40, 34, 27, 20, 11, 11, 12, 10]"
18,1,"[19, 20, 16, 18, 18, 29, 26, 13, 17, 25, 14, 13]"
19,1,"[33, 29, 24, 20, 19, 22, 18, 16, 11, 11, 11, 11]"
20,1,"[46, 46, 46, 43, 40, 44, 47, 44, 27, 20, 19, 17]"
21,1,"[43, 46, 45, 44, 43, 39, 31, 24, 23, 18, 16, 14]"
22,1,"[44, 44, 43, 45, 42, 36, 36, 41, 34, 29, 20, 13]"
23,1,"[20, 19, 23, 21, 23, 27, 24, 22, 17, 16, 18, 16]"
24,1,"[36, 36, 30, 31, 33, 31, 32, 28, 26, 30, 17, 16]"
25,1,"[29, 31, 33, 42, 39, 42, 41, 42, 28, 17, 12, 10]"
26,1,"[29, 30, 29, 28, 27, 23, 20, 22, 28, 31, 24, 10]"
27,1,"[43, 44, 43, 43, 42, 44, 41, 43, 43, 43, 33, 17]"
28,1,"[42, 37, 35, 42, 40, 41, 33, 28, 32, 22, 23, 14]"
29,1,"[47, 47, 47, 48, 47, 49, 49, 47, 46, 29, 21, 11]"
30,1,"[12, 13, 17, 21, 22, 21, 19, 22, 19, 24, 15, 12]"
31,1,"[20, 21, 19, 12, 15, 17, 17, 18, 16, 21, 18, 11]"
32,1,"[21, 21, 22, 22, 15, 21, 21, 29, 26, 27, 24, 23]"
33,1,"[24, 27, 26, 25, 29, 26, 20, 21, 19, 11, 18, 17]"
34,1,"[18, 20, 23, 15, 16, 16, 17, 18, 21, 25, 22, 21]"
35,1,"[12, 20, 25, 26, 23, 17, 19, 15, 20, 25, 19, 18]"
36,1,"[23, 27, 26, 21, 22, 20, 22, 22, 25, 24, 13, 13]"
37,1,"[15, 12, 24, 24, 21, 22, 20, 19, 18, 23, 22, 18]"
38,1,"[29, 26, 23, 26, 21, 18, 16, 15, 19, 15, 12, 11]"
39,1,"[23, 29, 24, 29, 29, 29, 30, 28, 25, 21, 17, 15]"
40,1,"[18, 18, 19, 18, 23, 27, 24, 22, 19, 21, 19, 13]"
41,1,"[29, 17, 22, 32, 28, 29, 24, 21, 15, 28, 22, 16]"
42,1,"[20, 23, 25, 25, 25, 23, 20, 19, 23, 20, 19, 18]"
43,1,"[21, 21, 24, 22, 18, 23, 27, 27, 21, 22, 19, 19]"
44,1,"[21, 24, 20, 21, 15, 23, 21, 15, 16, 16, 12, 11]"
45,1,"[28, 29, 28, 26, 21, 24, 29, 23, 29, 29, 26, 15]"
46,1,"[18, 18, 21, 23, 13, 17, 17, 16, 21, 24, 26, 17]"
47,1,"[27, 25, 31, 29, 25, 25, 29, 27, 21, 21, 20, 12]"
48,1,"[32, 27, 30, 34, 31, 28, 29, 31, 29, 26, 25, 23]"
49,1,"[31, 30, 32, 29, 32, 31, 30, 30, 28, 20, 25, 14]"
50,1,"[24, 28, 33, 32, 30, 31, 31, 31, 32, 30, 27, 12]"
51,1,"[32, 31, 31, 32, 32, 33, 32, 32, 24, 21, 25, 15]"
52,1,"[29, 27, 29, 30, 30, 29, 30, 31, 31, 31, 30, 25]"
53,1,"[30, 28, 30, 30, 29, 31, 31, 33, 31, 28, 24, 18]"
54,1,"[28, 31, 30, 29, 30, 28, 24, 14, 21, 25, 20, 11]"
55,1,"[21, 17, 24, 25, 28, 32, 30, 24, 19, 20, 19, 14]"
56,1,"[36, 35, 33, 33, 37, 35, 32, 25, 30, 20, 14, 10]"
